นครราชสีมา|Nakhon Ratchasima|นม|20493.964
เชียงใหม่|Chiang Mai|ชม|20107.057
กาญจนบุรี|Kanchanaburi|กจ|19483.148
ตาก|Tak|ตก|16406.65
อุบลราชธานี|Ubon Ratchathani|อบ|16112.65
สุราษฎร์ธานี|Surat Thani|สฎ|12891.469
ชัยภูมิ|Chaiyaphum|ชย|12778.287
แม่ฮ่องสอน|Mae Hong Son|มส|12681.259
เพชรบูรณ์|Phetchabun|พช|12668.416
ลำปาง|Lampang|ลป|12533.961
อุดรธานี|Udon Thani|อด|11730.302
เชียงราย|Chiang Rai|ชร|11678.369
น่าน|Nan|นน|11472.072
เลย|Loei|ลย|11424.612
ขอนแก่น|Khon Kaen|ขก|10885.991
พิษณุโลก|Phitsanulok|พล|10815.854
บุรีรัมย์|Buri Ram|บร|10322.885
นครศรีธรรมราช|Nakhon Si Thammarat|นศ|9942.502
สกลนคร|Sakon Nakhon|สน|9605.764
นครสวรรค์|Nakhon Sawan|นว|9597.677
ศรีสะเกษ|Si Sa Ket|ศก|8839.976
กำแพงเพชร|Kamphaeng Phet|กพ|8607.49
ร้อยเอ็ด|Roi Et|รอ|8299.449
สุรินทร์|Surin|สร|8124.056
อุตรดิตถ์|Uttaradit|อต|7838.592
สงขลา|Songkhla|สข|7393.889
สระแก้ว|Sa Kaeo|สก|7195.436
กาฬสินธุ์|Kalasin|กส|6946.746
อุทัยธานี|Uthai Thani|อน|6730.246
สุโขทัย|Sukhothai|สท|6596.092
แพร่|Phrae|พร|6538.598
ประจวบคีรีขันธ์|Prachuap Khiri Khan|ปข|6367.62
จันทบุรี|Chanthaburi|จบ|6338
พะเยา|Phayao|พย|6335.06
เพชรบุรี|Phetchaburi|พบ|6225.138
ลพบุรี|Lop Buri|ลบ|6199.753
ชุมพร|Chumphon|ชพ|6010.849
นครพนม|Nakhon Phanom|นพ|5512.668
สุพรรณบุรี|Suphan Buri|สพ|5358.008
ฉะเชิงเทรา|Chachoengsao|ฉช|5351
มหาสารคาม|Maha Sarakham|มค|5291.683
ราชบุรี|Ratchaburi|รบ|5196.462
ตรัง|Trang|ตง|4917.519
ปราจีนบุรี|Prachin Buri|ปจ|4762.362
กระบี่|Krabi|กบ|4708.512
ชลบุรี|Chon Buri|ชบ|4611.829
พิจิตร|Phichit|พจ|4531.013
ยะลา|Yala|ยล|4521.078
ลำพูน|Lamphun|ลพ|4505.882
นราธิวาส|Narathiwat|นธ|4475.43
มุกดาหาร|Mukdahan|มห|4339.83
บึงกาฬ|Bueng Kan|บก|4305
พังงา|Phangnga|พง|4170.895
ยโสธร|Yasothon|ยส|4161.664
หนองบัวลำภู|Nong Bua Lam Phu|นภ|3859.086
สระบุรี|Saraburi|สบ|3576.486
ระยอง|Rayong|รย|3552
พัทลุง|Phatthalung|พท|3424.473
ระนอง|Ranong|รน|3298.045
อำนาจเจริญ|Amnat Charoen|อจ|3161.248
หนองคาย|Nong Khai|นค|3027.28
ตราด|Trat|ตร|2819
พระนครศรีอยุธยา|Phra Nakhon Si Ayutthaya|อย|2556.64
สตูล|Satun|สต|2478.977
ชัยนาท|Chai Nat|ชน|2469.746
นครปฐม|Nakhon Pathom|นฐ|2168.327
นครนายก|Nakhon Nayok|นย|2122
ปัตตานี|Pattani|ปน|1940.356
กรุงเทพมหานคร|Krung Thep Maha Nakhon|กทม|1568.737
ปทุมธานี|Pathum Thani|ปท|1525.856
สมุทรปราการ|Samut Prakan|สป|1004.092
อ่างทอง|Ang Thong|อท|968.372
สมุทรสาคร|Samut Sakhon|สค|872.347
สิงห์บุรี|Sing Buri|สห|822.478
นนทบุรี|Nonthaburi|นบ|622.303
ภูเก็ต|Phuket|ภก|543.034
สมุทรสงคราม|Samut Songkhram|สส|416.707